commit_id,author_id
"12337","5101"
"12342","5101"
"12345","5101"
"12349","5101"
"12352","5101"
"12355","5105"
"12358","5106"
"12361","5105"
"12363","5105"
"12365","5105"
"12494","5121"
"12499","5105"
"12503","5105"
"12505","5122"
"12508","5101"
"12512","5105"
"12515","5105"
"12520","5105"
"12523","5105"
"12527","5105"
"12529","5105"
"12532","5105"
"12534","5105"
"12536","5105"
"12537","5105"
"12539","5130"
"12541","5105"
"12543","5105"
"12545","5132"
"12547","5105"
"12549","5106"
"12552","5106"
"12554","5105"
"12556","5105"
"12558","5105"
"12560","5105"
"12562","5105"
"12564","5105"
"12566","5105"
"12568","5105"
"12570","5105"
"12571","5105"
"12573","5105"
"12575","5105"
"12577","5105"
"12579","5105"
"12581","5105"
"12583","5105"
"12585","5105"
"12587","5105"
"12589","5105"
"12591","5105"
"12593","5105"
"12595","5105"
"12597","5105"
"12601","5105"
"12603","5105"
"12605","5105"
"12609","5105"
"12611","5105"
"12613","5105"
"12615","5105"
"12617","5105"
"12618","5105"
"12620","5105"
"12622","5105"
"12624","5105"
"12626","5105"
"12628","5137"
"12630","5105"
"12631","5105"
"12633","5105"
"12636","5101"
"12638","5135"
"12640","5101"
"12642","5101"
"12643","5101"
"12645","5105"
"12646","5105"
"12647","5105"
"12648","5105"
"12649","5101"
"12650","5101"
"12651","5101"
"12652","5105"
"12653","5105"
"12654","5101"
"12655","5105"
"12656","5101"
"12657","5101"
"12658","5105"
"12659","5105"
"12660","5105"
"12661","5105"
"12662","5105"
"42328","5105"
"42390","5101"
"42393","5101"
"42400","5105"
"42407","5105"
"42409","5101"
"42416","5105"
"42422","5105"
"42427","5101"
"42431","5101"
"42436","5101"
"42442","12202"
"42447","5101"
"42451","5101"
"42457","5101"
"42460","5101"
"42466","5101"
"42470","5105"
"42476","5101"
"42482","5105"
"42488","5105"
"42494","5105"
"42499","5105"
"42507","12208"
"42514","5101"
"42518","5101"
"42522","12211"
"42528","12211"
"42532","12211"
"42538","5101"
"42545","5101"
"42550","5101"
"42553","5101"
"42560","5105"
"42564","5105"
"42568","5101"
"42573","5105"
"42578","5105"
"42584","5105"
"42589","5101"
"42593","5105"
"136113","5105"
"136132","5105"
"177492","5101"
"177494","5105"
"177495","5101"
"177497","5101"
"177499","5105"
"177501","5105"
"177502","5101"
"177503","5101"
"177504","5101"
"177506","5105"
"177508","5101"
"177509","5101"
"177510","5101"
"177512","5105"
"177514","5105"
"177516","5101"
"177517","5105"
"177526","5101"
"177527","5101"
"177529","5105"
"177531","5105"
"177536","41996"
"177542","12202"
"177544","5105"
"177546","5105"
"177548","5105"
"177550","5105"
"177558","5101"
"177560","5105"
"177567","5105"
"177572","5101"
"178129","5105"
"178144","5101"
"178157","5101"
"285071","51936"
"297141","6441"
"410821","5105"
"410822","5105"
"438628","5105"
"442137","5105"
"477254","5105"
"479722","5105"
"506184","5105"
"514773","5105"
"521454","5105"
"521455","5105"
"538105","5105"
"542639","74017"
"543597","17832"
"543600","5101"
"545170","5101"
"548390","5105"
"548395","5105"
"559185","5105"
"607652","5105"
"743256","5101"
"743257","5101"
"743260","5101"
"743263","5101"
"743264","106264"
"743266","106264"
"743293","106264"
"743294","5101"
"743297","5101"
"743298","43111"
"743299","5101"
"743300","5101"
"743301","12407"
"743302","5101"
"743304","5101"
"743305","5101"
"743306","5105"
"743307","5105"
"743308","5105"
"743309","5105"
"743310","120833"
"743311","5105"
"743312","5105"
"743313","5105"
"743314","5105"
"743315","5105"
"743316","5105"
"743317","5105"
"743318","5105"
"743319","5105"
"743321","5105"
"743322","5105"
"743323","5105"
"743324","5105"
"743325","5105"
"743326","5101"
"743327","5105"
"743328","5101"
"743329","5101"
"743330","5101"
"743332","5101"
"743334","5105"
"743337","5105"
"743339","5101"
"743345","5105"
"743346","5101"
"743347","5105"
"743350","5101"
"743360","5101"
"743362","5105"
"743368","5101"
"743369","5101"
"743370","5105"
"743371","5101"
"743374","5105"
"743375","5105"
"743376","5105"
"743379","5105"
"743380","5105"
"743381","122466"
"743382","5105"
"743384","5105"
"743385","5105"
"743386","122466"
"743388","5105"
"743389","5105"
"743390","5105"
"743391","5105"
"743392","5105"
"743393","5105"
"743394","5105"
"743395","5105"
"743396","5105"
"743398","5105"
"743399","5101"
"743400","5105"
"743401","5105"
"743402","5105"
"743403","5105"
"743404","5105"
"743405","5105"
"743406","5105"
"743408","5105"
"743409","5105"
"743410","5105"
"743411","5105"
"743412","5105"
"743413","5105"
"743414","5105"
"743415","5105"
"743422","5105"
"838311","5101"
"838313","5101"
"838325","5101"
"838340","5101"
"838348","64238"
"838360","5105"
"838372","5101"
"838378","5105"
"838379","5101"
"838384","131566"
"838387","5101"
"838388","5101"
"838392","5101"
"838398","5101"
"838400","5101"
"838414","5101"
"838419","12202"
"949407","131566"
"1476039","5105"
"1476047","5105"
"1505369","259439"
"1505380","5101"
"1505563","259439"
"1505572","5101"
"1505615","259439"
"1505630","11916"
"1505664","259471"
"1505681","259471"
"1505705","259471"
"1505769","259471"
"1505787","5101"
"1505822","259439"
"1505835","259439"
"1505896","5101"
"1505912","5101"
"1505941","5101"
"1505954","5101"
"1505961","5101"
"1506005","5101"
"1506086","5101"
"1865874","5101"
"1865875","5101"
"1865883","5101"
"1865889","5101"
"1865890","5105"
"1865897","5105"
"1865917","5105"
"1865930","5105"
"1865936","297660"
"1865969","5105"
"1866025","5105"
"2150184","26426"
"2178807","5105"
"2249146","5105"
"2249170","5105"
"2249190","5105"
"2249205","5105"
"2249222","33450"
"2249232","5105"
"2249251","5101"
"2249256","5101"
"2249271","5101"
"2249290","5101"
"2249307","10752"
"2249334","5105"
"2249349","5105"
"2249365","5105"
"2249408","5105"
"2249456","5105"
"2249512","5105"
"2249556","5105"
"2249614","5105"
"2263577","5105"
"2263578","5101"
"2264547","5105"
"2264589","5105"
"2385244","72515"
"2393478","5101"
"2393480","5101"
"2393481","5101"
"2393482","5101"
"2393484","5101"
"2393485","5101"
"2393495","5105"
"2393505","5105"
"2393513","5105"
"2393522","5105"
"2393529","5105"
"2393538","5105"
"2393543","5105"
"2393549","5105"
"2393554","5105"
"2393560","5105"
"2393577","5105"
"2393600","5105"
"2393624","5105"
"2393645","5105"
"2393680","5105"
"2393702","5105"
"2393722","5105"
"2393731","5105"
"2393740","5105"
"2393745","340080"
"2393750","5105"
"2393755","5105"
"2393761","5105"
"2393767","5105"
"2393771","5105"
"2393779","5105"
"2393786","5105"
"2393795","5105"
"2393806","5105"
"2393816","331829"
"2393828","5105"
"2393832","5105"
"2393836","5105"
"2393840","5101"
"2393845","5105"
"2393847","5105"
"2393850","6441"
"2393856","5105"
"2393863","5105"
"2393877","5105"
"2393887","5105"
"2393895","5105"
"2393906","5105"
"2393923","340088"
"2393927","5105"
"2393932","5105"
"2393939","5105"
"2393947","5105"
"2393953","5105"
"2393963","5105"
"2393970","5105"
"2393979","5105"
"2393985","5105"
"2393995","5105"
"2394000","5105"
"2394006","5105"
"2394007","5101"
"2394011","5105"
"2394018","5105"
"2394019","5101"
"2394020","5101"
"2394021","5101"
"2394022","5101"
"2394028","5101"
"2394042","5105"
"2394054","5105"
"2394061","5105"
"2394072","5105"
"2394082","5105"
"2394083","5101"
"2394084","5101"
"2394085","5101"
"2394086","5101"
"2394087","5101"
"2394101","5105"
"2394108","5105"
"2394113","47439"
"2394115","5101"
"2394117","5105"
"2394120","24640"
"2394122","5105"
"2394124","5105"
"2394125","41998"
"2394130","5105"
"2394135","5105"
"2394144","5105"
"2394157","5105"
"2435922","5105"
"2435925","5105"
"2508096","5101"
"2508130","131566"
"2508160","5105"
"2508179","131566"
"2508361","5105"
"2900199","5101"
"2900253","5101"
"2900254","5101"
"2900260","5101"
"2900261","5101"
"2900266","5101"
"2900267","5101"
"2900291","5101"
"2900310","131566"
"2900313","5101"
"2900329","5105"
"2900330","5101"
"2900332","5101"
"2900333","5101"
"2900334","5101"
"2900345","5105"
"2900346","5101"
"2900349","131566"
"2900350","5101"
"2900356","5105"
"2900360","131566"
"2900366","12202"
"2900369","131566"
"2900373","131566"
"2900375","131566"
"2900379","131566"
"2900386","131566"
"2900387","5101"
"2900388","5101"
"2900389","5101"
"2900390","5101"
"2900392","5101"
"2900395","131566"
"2900397","131566"
"2900401","131566"
"2900406","131566"
"2900408","131566"
"2900414","131566"
"2900418","131566"
"2900422","131566"
"2900424","5101"
"2900427","131566"
"2900429","5101"
"2900431","5101"
"2900434","131566"
"2900436","131566"
"2900440","131566"
"2900442","131566"
"2900443","5101"
"2900444","5101"
"2900448","131566"
"2900451","131566"
"2900456","5101"
"2900457","5101"
"2900458","5101"
"2900469","5101"
"3001772","5105"
"3001777","5105"
"3002237","5105"
"3003618","5105"
"3004314","5105"
"3006303","5105"
"3006429","5105"
"3181379","5105"
"3258038","5105"
"3258051","5101"
"3404859","5105"
"3643930","5105"
"3643937","5105"
"3643947","5105"
"3643956","5105"
"3643977","5105"
"3643993","5105"
"3644057","5105"
"3644073","5105"
"3644089","5105"
"3644194","5105"
"3644215","5105"
"3644292","5105"
"3644316","5105"
"3644329","5105"
"3644343","5105"
"3644361","5105"
"3644398","5105"
"3644442","5105"
"3644540","5105"
"3644569","5105"
"3644634","5105"
"3699445","5101"
"4063568","444712"
"4064462","40928"
"4112038","444712"
"4112044","444712"
"4112055","443348"
"4129934","5101"
"4153812","444712"
"4153824","444712"
"4153842","291495"
"4153850","291495"
"4153863","43605"
"4153872","444712"
"4153882","452929"
"4164839","5101"
"4214196","168744"
"4365994","48477"
"4514733","5105"
"4540761","150046"
"4668170","5105"
"4687858","131566"
"4687862","131566"
"4687867","131566"
"4687875","131566"
"4687884","131566"
"4687892","131566"
"4687901","131566"
"4687905","131566"
"4687916","131566"
"4687923","131566"
"4687930","131566"
"4687939","131566"
"4687947","131566"
"4687954","131566"
"4687964","131566"
"4687988","5101"
"4687993","5101"
"4688003","131566"
"4688013","131566"
"4688020","131566"
"4688432","5105"
"4688460","12208"
"4688465","5105"
"4688489","5105"
"4688491","5105"
"4688524","5105"
"4688526","5105"
"4688558","5105"
"4688593","5105"
"4688606","5105"
"4688632","5105"
"4688656","5105"
"4688670","5105"
"4688681","5105"
"4688698","5105"
"4688704","5105"
"4688727","5105"
"4688741","5105"
"4688743","5105"
"4688754","5105"
"4688760","5105"
"4688765","5105"
"4688770","482108"
"4688779","5105"
"4689677","31675"
"4759848","444712"
"4759868","444712"
"4759881","444712"
"4759885","131417"
"4759891","444712"
"4759904","444712"
"4759910","444712"
"4759919","444712"
"4759929","5105"
"4763145","5101"
"4763150","5101"
"4763154","5101"
"4763159","5101"
"4763163","5101"
"4763167","5101"
"4763177","5101"
"4763184","5101"
"4763188","5101"
"4763194","5101"
"4763198","5101"
"4763203","5101"
"4763216","5101"
"4763229","5101"
"4763238","5101"
"4763249","5101"
"4763257","5101"
"4763268","5101"
"4775009","5105"
"4830111","324463"
"4836022","198794"
"4836030","5105"
"4836602","5105"
"4836630","5105"
"4850409","324463"
"4851344","5105"
"4852446","5105"
"4872936","5105"
"4872942","5105"
"4872968","5105"
"4872984","10058"
"5032249","5105"
"5039168","128914"
"5039197","5105"
"5056374","5101"
"5056375","5101"
"5060356","157657"
"5111943","43111"
"5111949","43111"
"5111953","444712"
"5117530","5105"
"5119295","5105"
"5119313","5105"
"5119328","7144"
"5119376","5105"
"5119407","5105"
"5119425","5105"
"5125443","5105"
"5126002","5105"
"5127377","5105"
"5128051","5105"
"5131885","5105"
"5136240","5105"
"5136859","5105"
"5147575","5105"
"5147601","5105"
"5148160","31643"
"5148208","5105"
"5148257","5105"
"5174713","5105"
"5196055","5101"
"5196068","5101"
"5199124","5101"
"5205585","5105"
"5305777","455777"
"5306058","455777"
"5306195","455777"
"5314061","455777"
"5359423","31643"
"5359459","5105"
"5442376","5105"
"5442486","5105"
"5780062","5105"
"5871114","5101"
"5871118","5101"
"5871132","80496"
"5883536","5101"
"5883537","5101"
"5939140","444712"
"5939202","444712"
"5939208","444712"
"5939608","5101"
"5939619","5101"
"5939686","131566"
"5939705","131566"
"5939712","5101"
"5939725","5101"
"5939746","5101"
"5939764","5105"
"5939781","5101"
"5939783","5101"
"5971479","444712"
"5971485","444712"
"5971487","42896"
"5982925","5105"
"5983013","104742"
"5983060","5105"
"5983085","5105"
"5983361","5105"
"5983834","5105"
"5984642","5105"
"5987240","5105"
"6000178","444712"
"6000179","444712"
"6000185","444712"
"6004157","5105"
"6024166","444712"
"6024168","444712"
"6024174","21106"
"6039116","5105"
"6041033","5105"
"6043872","542865"
"6043924","5105"
"6043925","7144"
"6043932","5105"
"6045523","5105"
"6047611","5105"
"6047612","5105"
"6134446","5105"
"6134447","5105"
"6134449","5105"
"6134450","5105"
"6134451","5105"
"6134452","5105"
"6134453","5101"
"6134454","5105"
"6134455","5101"
"6134456","85025"
"6134461","5101"
"6134463","5101"
"6173433","5105"
"6188799","5105"
"6188805","5105"
"6188806","5105"
"6188809","67286"
"6189943","444712"
"6191484","5572"
"6191486","5572"
"6191487","5572"
"6191488","5572"
"6201788","149817"
"6208492","86941"
"6208496","86941"
"6208503","86941"
"6210973","5105"
"6210983","5572"
"6210992","5101"
"6210993","5101"
"6211035","5572"
"6211051","5105"
"6211060","5105"
"6211080","5105"
"6211091","5572"
"6211105","5101"
"6211115","5101"
"6211129","5101"
"6211138","5101"
"6211143","5101"
"6211158","5101"
"6211175","8898"
"6211216","5105"
"6211247","5105"
"6211258","5101"
"6211265","5101"
"6211271","5101"
"6211944","5105"
"6211952","5105"
"6232039","86941"
"6232052","86941"
"6259895","5101"
"6259896","5101"
"6259897","5101"
"6259898","5101"
"6259910","444712"
"6259911","5101"
"6259921","444712"
"6259931","444712"
"6259954","444712"
"6259963","444712"
"6259970","444712"
"6259978","444712"
"6259987","444712"
"6260002","444712"
"6260012","444712"
"6260021","444712"
"6260025","444712"
"6260032","444712"
"6260036","444712"
"6260043","444712"
"6260051","444712"
"6260060","444712"
"6260064","444712"
"6260071","444712"
"6260080","444712"
"6260095","444712"
"6260117","444712"
"6260129","444712"
"6260148","444712"
"6260162","444712"
"6260174","444712"
"6260185","444712"
"6260203","444712"
"6260217","444712"
"6260224","444712"
"6260235","444712"
"6260247","444712"
"6260256","444712"
"6260257","444712"
"6260261","444712"
"6260263","444712"
"6260265","444712"
"6260268","444712"
"6260274","444712"
"6260276","444712"
"6260278","444712"
"6260280","444712"
"6260282","444712"
"6260288","444712"
"6260290","5105"
"6260295","444712"
"6260299","444712"
"6260303","444712"
"6260309","444712"
"6260325","518618"
"6260336","5105"
"6260344","5105"
"6260347","5105"
"6260353","5105"
"6260363","5105"
"6260372","5105"
"6260383","5105"
"6260388","5105"
"6260392","5105"
"6260394","5105"
"6260396","5105"
"6260397","5101"
"6260398","5101"
"6260399","5101"
"6260402","5105"
"6260406","5105"
"6260412","5105"
"6260416","5105"
"6260419","5105"
"6260420","5105"
"6263369","5105"
"6265310","86941"
"6265333","86941"
"6265340","86941"
"6265353","86941"
"6265377","86941"
"6265411","86941"
"6265424","86941"
"6265478","86941"
"6265520","86941"
"6265576","86941"
"6265693","86941"
"6265716","86941"
"6265763","86941"
"6265880","86941"
"6265919","86941"
"6266014","86941"
"6266104","5105"
"6266120","5105"
"6266211","86941"
"6266279","86941"
"6266336","86941"
"6266361","86941"
"6266710","5105"
"6268641","5105"
"6284900","5101"
"6286031","5101"
"6286074","5101"
"6288235","5101"
"6290477","5101"
"6298795","5105"
"6331376","5101"
"6331377","5101"
"6331380","5105"
"6331381","5105"
