event_id,issue_id,actor_id,action,action_specification,created_at
"130396027","9547187","1321509","assigned",\N,"2014-06-11 16:55:00"
"131004142","9547187","2364017","mentioned",\N,"2014-06-13 01:02:50"
"131004143","9547187","2364017","subscribed",\N,"2014-06-13 01:02:50"
"131273833","9547187","1321509","mentioned",\N,"2014-06-13 16:31:45"
"131273834","9547187","1321509","subscribed",\N,"2014-06-13 16:31:45"
"131584534","9547187","2791403","closed",\N,"2014-06-16 03:27:23"
"130390910","9565630","1224844","mentioned",\N,"2014-06-11 16:42:35"
"130390911","9565630","1224844","subscribed",\N,"2014-06-11 16:42:35"
"130391087","9565630","2791403","mentioned",\N,"2014-06-11 16:43:03"
"130391088","9565630","2791403","subscribed",\N,"2014-06-11 16:43:03"
"130863619","9565630","2791403","closed",\N,"2014-06-12 16:41:45"
"130507835","9569600","1224844","mentioned",\N,"2014-06-11 21:57:54"
"130507836","9569600","1224844","subscribed",\N,"2014-06-11 21:57:54"
"131800559","9569600","469958","labeled",\N,"2014-06-16 14:27:24"
"145267613","9569600","4605094","labeled",\N,"2014-07-24 16:15:45"
"175257788","9569600","1224844","assigned",\N,"2014-10-07 15:09:40"
"175257852","9569600","1224844","unassigned",\N,"2014-10-07 15:09:46"
"175257853","9569600","2791403","assigned",\N,"2014-10-07 15:09:46"
"202113217","9569600","4073667","labeled",\N,"2014-12-03 17:14:25"
"225143529","9569600","2791403","closed",\N,"2015-01-27 05:26:19"
"130497471","9570811","469958","labeled",\N,"2014-06-11 21:14:22"
"131990135","9570811","276807","mentioned",\N,"2014-06-16 23:05:14"
"131990136","9570811","276807","subscribed",\N,"2014-06-16 23:05:14"
"137728520","9570811","2791403","assigned",\N,"2014-07-03 02:49:03"
"145278194","9570811","4605094","labeled",\N,"2014-07-24 16:38:09"
"160736782","9570811","2791403","closed",\N,"2014-09-03 16:21:10"
"130815139","9570861","1321509","assigned",\N,"2014-06-12 14:46:23"
"130993217","9570861","469958","referenced","1524ed76249a178332e1614f689ef8547dd583bd","2014-06-12 23:49:04"
"131003718","9570861","1321509","closed",\N,"2014-06-13 00:59:44"
"129015919","9587337","2791403","mentioned",\N,"2014-06-06 21:57:38"
"129015920","9587337","2791403","subscribed",\N,"2014-06-06 21:57:38"
"130863818","9587337","2791403","closed",\N,"2014-06-12 16:42:16"
"132935324","9590731","2791403","closed",\N,"2014-06-19 01:13:26"
"129036838","9594466","469958","labeled",\N,"2014-06-07 02:27:17"
"129036839","9594466","469958","labeled",\N,"2014-06-07 02:27:17"
"129152805","9594466","2791403","mentioned",\N,"2014-06-08 13:05:39"
"129152806","9594466","2791403","subscribed",\N,"2014-06-08 13:05:39"
"145250770","9594466","590380","referenced","3068a85d0514c1386ef077998978e52208a5c744","2014-07-24 15:43:24"
"150852163","9594466","2791403","closed",\N,"2014-08-08 15:29:32"
"131581749","9606623","1321509","closed","c6c59ff03fbfee1f2208c6f8182a4f54a3f45532","2014-06-16 03:02:52"
"131281090","9608204","2791403","assigned",\N,"2014-06-13 16:50:01"
"131800503","9608204","469958","labeled",\N,"2014-06-16 14:27:14"
"134492994","9608204","2791403","mentioned",\N,"2014-06-24 08:43:54"
"134492995","9608204","2791403","subscribed",\N,"2014-06-24 08:43:54"
"134576006","9608204","2791403","mentioned",\N,"2014-06-24 12:33:07"
"134576007","9608204","2791403","subscribed",\N,"2014-06-24 12:33:07"
"134633411","9608204","2628808","mentioned",\N,"2014-06-24 14:23:51"
"134633412","9608204","2628808","subscribed",\N,"2014-06-24 14:23:51"
"169912030","9608204","2791403","milestoned",\N,"2014-09-24 21:34:35"
"202023900","9608204","4073667","labeled",\N,"2014-12-03 15:00:14"
"202024116","9608204","4073667","labeled",\N,"2014-12-03 15:00:33"
"202329320","9608204","2791403","unassigned",\N,"2014-12-03 23:33:38"
"202329321","9608204","2628808","assigned",\N,"2014-12-03 23:33:38"
"204578389","9608204","2628808","mentioned",\N,"2014-12-08 23:58:18"
"204578390","9608204","2628808","subscribed",\N,"2014-12-08 23:58:18"
"204578392","9608204","4073667","mentioned",\N,"2014-12-08 23:58:18"
"204578393","9608204","4073667","subscribed",\N,"2014-12-08 23:58:18"
"204655347","9608204","2628808","mentioned",\N,"2014-12-09 04:43:57"
"204655348","9608204","2628808","subscribed",\N,"2014-12-09 04:43:57"
"204655349","9608204","4073667","mentioned",\N,"2014-12-09 04:43:57"
"204655350","9608204","4073667","subscribed",\N,"2014-12-09 04:43:57"
"207997546","9608204","2791403","closed",\N,"2014-12-15 23:10:57"
"131282938","9608308","2791403","closed",\N,"2014-06-13 16:55:13"
"129015645","9611039","1321509","mentioned",\N,"2014-06-06 21:56:02"
"129015646","9611039","1321509","subscribed",\N,"2014-06-06 21:56:02"
"129231455","9611039","2791403","referenced","5cb444417667da0fa442f305376d065e5fb8a51a","2014-06-09 04:00:31"
"129231525","9611039","2791403","referenced","8e8bc4004638ff9929c024f7586794003be016a0","2014-06-09 04:01:16"
"131294017","9611039","1321509","referenced","6d4e1632b3930ee8d7581c16084346f7975517ae","2014-06-13 17:24:49"
"131341184","9611039","2791403","closed",\N,"2014-06-13 19:47:33"
"136810956","9612048","2791403","closed",\N,"2014-07-01 02:15:55"
"131432110","9619482","469958","labeled",\N,"2014-06-14 13:58:07"
"131455679","9619482","114126","mentioned",\N,"2014-06-14 19:20:12"
"131455680","9619482","114126","subscribed",\N,"2014-06-14 19:20:12"
"131455695","9619482","469958","renamed",\N,"2014-06-14 19:20:29"
"131455697","9619482","469958","unlabeled",\N,"2014-06-14 19:20:32"
"131455702","9619482","469958","labeled",\N,"2014-06-14 19:20:33"
"154359205","9619482","13194","mentioned",\N,"2014-08-19 06:53:51"
"154359206","9619482","13194","subscribed",\N,"2014-08-19 06:53:51"
"174187793","9619482","4073667","labeled",\N,"2014-10-04 18:50:19"
"202113536","9619482","469958","mentioned",\N,"2014-12-03 17:14:55"
"202113537","9619482","469958","subscribed",\N,"2014-12-03 17:14:55"
"202113538","9619482","2791403","mentioned",\N,"2014-12-03 17:14:55"
"202113539","9619482","2791403","subscribed",\N,"2014-12-03 17:14:55"
"202113640","9619482","4073667","labeled",\N,"2014-12-03 17:15:06"
"224112301","9619482","4073667","labeled",\N,"2015-01-24 05:28:59"
"227664249","9619482","469958","referenced","cc9706d56a4fb64372fba43310869bb0e229456c","2015-01-30 16:21:00"
"227681581","9619482","469958","referenced","7aa05006caf8329d2a970ac26c45230acef1a6be","2015-01-30 16:50:12"
"227782127","9619482","469958","referenced","84d590b82bc12966003b6eb4f2b4664ef2b60567","2015-01-30 19:36:30"
"227798498","9619482","469958","referenced","6bdede69252fb42a7963d3a93678170d6d07ad92","2015-01-30 20:06:46"
"227896907","9619482","469958","assigned",\N,"2015-01-30 23:27:42"
"243786737","9619482","4073667","labeled",\N,"2015-02-28 16:09:06"
"281539857","9619482","4073667","mentioned",\N,"2015-04-14 22:21:30"
"281539858","9619482","4073667","subscribed",\N,"2015-04-14 22:21:30"
"282653455","9619482","4073667","closed",\N,"2015-04-15 22:51:43"
"145285536","9622588","4605094","closed",\N,"2014-07-24 16:53:32"
"131807846","9623936","469958","labeled",\N,"2014-06-16 14:45:30"
"142851645","9623936","4073667","labeled",\N,"2014-07-17 18:51:11"
"155215214","9623936","13194","mentioned",\N,"2014-08-20 17:59:28"
"155215215","9623936","13194","subscribed",\N,"2014-08-20 17:59:28"
"155215216","9623936","2791403","mentioned",\N,"2014-08-20 17:59:28"
"155215217","9623936","2791403","subscribed",\N,"2014-08-20 17:59:28"
"155215661","9623936","4073667","renamed",\N,"2014-08-20 18:00:18"
"171908481","9623936","4073667","labeled",\N,"2014-09-30 04:36:00"
"174196337","9623936","4073667","milestoned",\N,"2014-10-04 20:22:51"
"181597684","9623936","4073667","closed",\N,"2014-10-21 13:48:16"
"131586042","9635568","2791403","closed",\N,"2014-06-16 03:39:14"
"129015998","9637675","2791403","mentioned",\N,"2014-06-06 21:58:07"
"129015999","9637675","2791403","subscribed",\N,"2014-06-06 21:58:07"
"129223095","9637675","2791403","referenced","1e0d7fee933bc92fc17df63fd6070be46850d951","2014-06-09 02:49:24"
"131571336","9637675","2791403","closed",\N,"2014-06-16 01:36:33"
"131571439","9637687","2791403","closed",\N,"2014-06-16 01:37:18"
"131571741","9637712","2791403","closed",\N,"2014-06-16 01:40:16"
"131803098","9647537","4006830","assigned",\N,"2014-06-16 14:33:27"
"131803681","9647537","239748","mentioned",\N,"2014-06-16 14:34:54"
"131803682","9647537","239748","subscribed",\N,"2014-06-16 14:34:54"
"132759519","9647537","469958","closed",\N,"2014-06-18 15:48:01"
"132935401","9649302","2791403","closed",\N,"2014-06-19 01:14:01"
"131850685","9651523","2791403","closed",\N,"2014-06-16 16:24:12"
"131998649","9656636","469958","labeled",\N,"2014-06-16 23:48:21"
"135185164","9656636","13194","mentioned",\N,"2014-06-25 17:46:39"
"135185165","9656636","13194","subscribed",\N,"2014-06-25 17:46:39"
"135196519","9656636","4073667","mentioned",\N,"2014-06-25 18:13:34"
"135196520","9656636","4073667","subscribed",\N,"2014-06-25 18:13:34"
"135270000","9656636","13194","mentioned",\N,"2014-06-25 21:43:09"
"135270001","9656636","13194","subscribed",\N,"2014-06-25 21:43:09"
"143124204","9656636","2628808","mentioned",\N,"2014-07-18 12:49:07"
"143124205","9656636","2628808","subscribed",\N,"2014-07-18 12:49:07"
"143155618","9656636","2628808","mentioned",\N,"2014-07-18 13:59:46"
"143155619","9656636","2628808","subscribed",\N,"2014-07-18 13:59:46"
"145316539","9656636","4605094","labeled",\N,"2014-07-24 18:05:28"
"145713586","9656636","2628808","mentioned",\N,"2014-07-25 15:46:30"
"145713587","9656636","2628808","subscribed",\N,"2014-07-25 15:46:30"
"145713588","9656636","13194","mentioned",\N,"2014-07-25 15:46:30"
"145713589","9656636","13194","subscribed",\N,"2014-07-25 15:46:30"
"145713590","9656636","36904","mentioned",\N,"2014-07-25 15:46:30"
"145713591","9656636","36904","subscribed",\N,"2014-07-25 15:46:30"
"145713592","9656636","1342319","mentioned",\N,"2014-07-25 15:46:30"
"145713593","9656636","1342319","subscribed",\N,"2014-07-25 15:46:30"
"145713594","9656636","590380","mentioned",\N,"2014-07-25 15:46:30"
"145713595","9656636","590380","subscribed",\N,"2014-07-25 15:46:30"
"145713596","9656636","4073669","mentioned",\N,"2014-07-25 15:46:30"
"145713597","9656636","4073669","subscribed",\N,"2014-07-25 15:46:30"
"145795005","9656636","1321509","mentioned",\N,"2014-07-25 19:14:00"
"145795006","9656636","1321509","subscribed",\N,"2014-07-25 19:14:00"
"145799059","9656636","4073667","mentioned",\N,"2014-07-25 19:24:13"
"145799060","9656636","4073667","subscribed",\N,"2014-07-25 19:24:13"
"151887209","9656636","36904","referenced","6be733432a5a2fa70666a96371f50b9f4038935e","2014-08-12 12:26:59"
"151916248","9656636","36904","referenced","f00bf513cf97560a401d61ba2d3c075fe6b9b21d","2014-08-12 13:18:00"
"151920189","9656636","36904","referenced","90612df52f3ccfcb24e640bdd2c384033bc663ea","2014-08-12 13:24:31"
"158164133","9656636","4073667","milestoned",\N,"2014-08-27 21:48:36"
"163281850","9656636","2791403","milestoned",\N,"2014-09-09 18:03:07"
"163281851","9656636","2791403","demilestoned",\N,"2014-09-09 18:03:07"
"163319249","9656636","4073669","assigned",\N,"2014-09-09 19:12:11"
"163951708","9656636","4073669","closed",\N,"2014-09-10 21:12:23"
"230253278","9656636","4073669","labeled",\N,"2015-02-04 17:51:31"
"262426491","9656636","110375","referenced","ad8a6460c80e352fbadeb0a63355ebb76343cfc6","2015-03-23 14:13:52"
"263119497","9656636","110375","referenced","6a125a46fa82a77df8b94ec79c90c0800f7ba9ad","2015-03-24 03:46:08"
"321763966","9656636","2628808","referenced","ae37476c488c9c5841cd95c2a4497232bccafc19","2015-06-03 17:58:01"
"332830836","9656636","4073669","unassigned",\N,"2015-06-17 04:36:10"
"332830837","9656636","5696798","assigned",\N,"2015-06-17 04:36:10"
"332830872","9656636","5696798","reopened",\N,"2015-06-17 04:36:14"
"332831437","9656636","5696798","labeled",\N,"2015-06-17 04:37:15"
"332845409","9656636","5696798","closed",\N,"2015-06-17 04:58:19"
"131998515","9658593","823386","mentioned",\N,"2014-06-16 23:47:47"
"131998516","9658593","823386","subscribed",\N,"2014-06-16 23:47:47"
"131998561","9658593","469958","labeled",\N,"2014-06-16 23:47:55"
"131998597","9658593","469958","renamed",\N,"2014-06-16 23:48:09"
"145316767","9658593","4605094","labeled",\N,"2014-07-24 18:06:05"
"202112949","9658593","4073667","labeled",\N,"2014-12-03 17:13:55"
"232032551","9658593","5696798","labeled",\N,"2015-02-08 00:40:50"
"243680393","9658593","4073667","milestoned",\N,"2015-02-28 00:45:01"
"249732614","9658593","5931027","demilestoned",\N,"2015-03-10 21:46:54"
"249732615","9658593","5931027","milestoned",\N,"2015-03-10 21:46:54"
"249732616","9658593","5931027","milestoned",\N,"2015-03-10 21:46:54"
"249732617","9658593","5931027","demilestoned",\N,"2015-03-10 21:46:54"
"290479738","9658593","4239911","demilestoned",\N,"2015-04-27 02:24:12"
"290504399","9658593","4239911","closed",\N,"2015-04-27 03:20:56"
"290504439","9658593","4239911","assigned",\N,"2015-04-27 03:21:01"
"132000864","9658739","469958","labeled",\N,"2014-06-17 00:00:59"
"145316838","9658739","4605094","labeled",\N,"2014-07-24 18:06:17"
"202111071","9658739","4605094","mentioned",\N,"2014-12-03 17:10:42"
"202111073","9658739","4605094","subscribed",\N,"2014-12-03 17:10:42"
"202111075","9658739","1321509","mentioned",\N,"2014-12-03 17:10:42"
"202111077","9658739","1321509","subscribed",\N,"2014-12-03 17:10:42"
"202111144","9658739","4073667","labeled",\N,"2014-12-03 17:10:48"
"202111742","9658739","4073667","labeled",\N,"2014-12-03 17:11:48"
"202112827","9658739","4073667","unlabeled",\N,"2014-12-03 17:13:42"
"202113033","9658739","4073667","unlabeled",\N,"2014-12-03 17:14:04"
"202113090","9658739","4073667","labeled",\N,"2014-12-03 17:14:09"
"236740104","9658739","5696798","labeled",\N,"2015-02-17 05:32:47"
"243680535","9658739","4073667","milestoned",\N,"2015-02-28 00:45:40"
"259864853","9658739","5106821","labeled",\N,"2015-03-19 20:25:58"
"259864854","9658739","5106821","unlabeled",\N,"2015-03-19 20:25:58"
"259865709","9658739","5106821","labeled",\N,"2015-03-19 20:26:51"
"259865710","9658739","5106821","unlabeled",\N,"2015-03-19 20:26:51"
"259865804","9658739","5106821","assigned",\N,"2015-03-19 20:26:54"
"259865902","9658739","5106821","unassigned",\N,"2015-03-19 20:26:58"
"259865903","9658739","4239911","assigned",\N,"2015-03-19 20:26:58"
"262426484","9658739","110375","referenced","4a767f2c914f2529805016e68f6e817d0ae4710a","2015-03-23 14:13:52"
"265301107","9658739","4239911","closed",\N,"2015-03-25 22:40:33"
"134537460","9667299","188614","closed",\N,"2014-06-24 11:07:16"
"141046906","9673330","2791403","closed",\N,"2014-07-13 20:34:02"
"142297259","9677296","2791403","labeled",\N,"2014-07-16 16:03:42"
"142297285","9677296","2791403","labeled",\N,"2014-07-16 16:03:45"
"145323071","9677296","4605094","labeled",\N,"2014-07-24 18:20:48"
"145323096","9677296","4605094","labeled",\N,"2014-07-24 18:20:52"
"158164412","9677296","4073667","milestoned",\N,"2014-08-27 21:49:29"
"163279341","9677296","2791403","milestoned",\N,"2014-09-09 17:58:16"
"163279342","9677296","2791403","demilestoned",\N,"2014-09-09 17:58:16"
"163319782","9677296","4073669","assigned",\N,"2014-09-09 19:13:11"
"174106092","9677296","4073667","labeled",\N,"2014-10-04 00:52:02"
"174875489","9677296","2624578","mentioned",\N,"2014-10-06 22:12:42"
"174875490","9677296","2624578","subscribed",\N,"2014-10-06 22:12:42"
"174875491","9677296","4073669","closed",\N,"2014-10-06 22:12:42"
"132756185","9677630","469958","labeled",\N,"2014-06-18 15:40:45"
"145325890","9677630","4605094","labeled",\N,"2014-07-24 18:27:35"
"145325918","9677630","4605094","labeled",\N,"2014-07-24 18:27:37"
"171821809","9677630","4073667","labeled",\N,"2014-09-29 22:28:11"
"171856108","9677630","4073667","renamed",\N,"2014-09-30 00:49:38"
"171907297","9677630","4073667","labeled",\N,"2014-09-30 04:31:31"
"174187996","9677630","4073667","milestoned",\N,"2014-10-04 18:52:45"
"178532912","9677630","4073667","labeled",\N,"2014-10-14 20:31:51"
"181781168","9677630","2624578","mentioned",\N,"2014-10-21 18:59:42"
"181781170","9677630","2624578","subscribed",\N,"2014-10-21 18:59:42"
"188135213","9677630","4073669","assigned",\N,"2014-11-04 15:46:04"
"188365165","9677630","4073667","mentioned",\N,"2014-11-04 21:55:17"
"188365166","9677630","4073667","subscribed",\N,"2014-11-04 21:55:17"
"188377820","9677630","3665822","mentioned",\N,"2014-11-04 22:22:48"
"188377821","9677630","3665822","subscribed",\N,"2014-11-04 22:22:48"
"188423285","9677630","4073667","mentioned",\N,"2014-11-05 00:23:34"
"188423286","9677630","4073667","subscribed",\N,"2014-11-05 00:23:34"
"188478002","9677630","3665822","mentioned",\N,"2014-11-05 03:50:33"
"188478003","9677630","3665822","subscribed",\N,"2014-11-05 03:50:33"
"188478004","9677630","4073669","mentioned",\N,"2014-11-05 03:50:33"
"188478005","9677630","4073669","subscribed",\N,"2014-11-05 03:50:33"
"189033332","9677630","4073667","mentioned",\N,"2014-11-05 23:04:51"
"189033333","9677630","4073667","subscribed",\N,"2014-11-05 23:04:51"
"189033334","9677630","3665822","mentioned",\N,"2014-11-05 23:04:51"
"189033335","9677630","3665822","subscribed",\N,"2014-11-05 23:04:51"
"190980259","9677630","4073667","closed",\N,"2014-11-10 18:25:14"
"191088501","9677630","4073669","milestoned",\N,"2014-11-10 21:38:20"
"191088502","9677630","4073669","demilestoned",\N,"2014-11-10 21:38:20"
"132755571","9682398","469958","labeled",\N,"2014-06-18 15:39:40"
"140809448","9682398","4073667","renamed",\N,"2014-07-11 18:31:26"
"145323901","9682398","4605094","labeled",\N,"2014-07-24 18:22:50"
"145391842","9682398","13194","mentioned",\N,"2014-07-24 21:27:29"
"145391843","9682398","13194","subscribed",\N,"2014-07-24 21:27:29"
"145446370","9682398","13194","mentioned",\N,"2014-07-25 02:26:09"
"145446371","9682398","13194","subscribed",\N,"2014-07-25 02:26:09"
"145480138","9682398","2628808","mentioned",\N,"2014-07-25 05:25:21"
"145480139","9682398","2628808","subscribed",\N,"2014-07-25 05:25:21"
"145480140","9682398","1321509","mentioned",\N,"2014-07-25 05:25:21"
"145480141","9682398","1321509","subscribed",\N,"2014-07-25 05:25:21"
"145487693","9682398","13194","mentioned",\N,"2014-07-25 05:55:10"
"145487694","9682398","13194","subscribed",\N,"2014-07-25 05:55:10"
"145717390","9682398","4073667","mentioned",\N,"2014-07-25 15:55:59"
"145717391","9682398","4073667","subscribed",\N,"2014-07-25 15:55:59"
"145717392","9682398","2628808","mentioned",\N,"2014-07-25 15:55:59"
"145717393","9682398","2628808","subscribed",\N,"2014-07-25 15:55:59"
"145717394","9682398","13194","mentioned",\N,"2014-07-25 15:55:59"
"145717395","9682398","13194","subscribed",\N,"2014-07-25 15:55:59"
"145807350","9682398","4073667","mentioned",\N,"2014-07-25 19:48:41"
"145807351","9682398","4073667","subscribed",\N,"2014-07-25 19:48:41"
